type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-04-05T21:29:23.049+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-04-05T21:29:23.155+00:00,null
CALORIES_BURNED_GOAL,DAILY,2781.0,455.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-08,2024-05-09,2019-12-07T02:00:11.000+00:00,null
STEPS_GOAL,DAILY,8000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-08,2024-05-09,2019-12-07T02:00:11.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2021-01-07,2021-01-08,2019-12-07T02:00:11.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,4.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-08,2024-05-09,2019-12-07T02:00:11.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-08,2024-05-09,2019-12-07T02:00:11.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,24221.0,INPROGRESS_SO_FAR_MISSED,true,2024-05-05,2024-05-12,2019-12-07T02:00:11.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,10.7493,INPROGRESS_SO_FAR_MISSED,false,2024-05-05,2024-05-12,2019-12-07T02:00:11.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,58.0,INPROGRESS_SO_FAR_MISSED,false,2021-01-03,2021-01-10,2019-12-07T02:00:11.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,19467.0,9949.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-05,2024-05-12,2019-12-07T02:00:11.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-12,2024-04-13,2019-12-07T02:00:11.000+00:00,null
WEIGHT_GOAL,MONTHLY,170.0,174.4,NEW,false,null,null,2024-04-12T05:59:59.000+00:00,2024-04-11T15:07:21.000+00:00